Graphlet	Count	Tally	Significance
((0, 1), (0, 1), (1, 1))	18	965	0.965
((0, 1), (0, 4), (1, 5))	1	1000	1.0
((0, 1), (0, 5), (1, 4))	4	0	0.0
((0, 1), (0, 3), (1, 2))	6	0	0.0
((0, 1), (0, 2), (1, 3))	12	1000	1.0
((0, 3), (0, 5), (2, 4))	9	0	0.0
((0, 2), (0, 2), (3, 3))	2	1000	1.0
((0, 3), (0, 3), (2, 2))	69	0	0.0
((0, 2), (0, 3), (2, 3))	17	1000	1.0
((0, 2), (0, 6), (3, 6))	1	1000	1.0
((1, 1), (1, 1), (1, 1))	2	186	0.186
((1, 3), (1, 3), (2, 2))	5	5	0.005
((2, 4), (2, 5), (3, 3))	2	3	0.003
((2, 2), (3, 4), (3, 5))	1	893	0.893
((2, 3), (2, 4), (3, 5))	2	20	0.02
((2, 2), (2, 3), (3, 3))	6	593	0.593
((2, 6), (2, 6), (3, 3))	1	0	0.0
